step,gene_index,search_auc,val_auc,elapsed_s,gene_id
1,4883,0.945455,0.548701,0.011,ADAM18_1
2,4882,0.945455,0.548701,0.02,ADAM18
3,6279,0.89154,0.525162,0.029,FTCD_1
4,6278,0.892906,0.525162,0.039,FTCD
5,4905,0.839096,0.525162,0.048,TNFRSF10C
6,2704,0.787493,0.563312,0.056,NEFL
7,2747,0.743037,0.556818,0.065,NKG7
8,4967,0.734419,0.498377,0.074,VNN2
9,2592,0.731161,0.501623,0.083,MYBPC1
10,9079,0.749658,0.560065,0.092,ZNF253
11,567,0.775302,0.577922,0.1,CD44
12,7663,0.79443,0.590909,0.109,REM1
13,2740,0.809459,0.571429,0.118,NFYC
14,3445,0.818707,0.532468,0.127,RBP1
15,3248,0.830478,0.525974,0.136,PSAP
16,10862,0.839727,0.537338,0.146,ALS2CL
17,9930,0.84866,0.529221,0.156,VTCN1
18,8041,0.860221,0.535714,0.165,MZB1
19,2460,0.865476,0.563312,0.174,MAP3K1
20,3758,0.8701,0.594156,0.183,SLC6A13
21,791,0.873988,0.571429,0.193,CPB2
22,5833,0.876406,0.592532,0.202,WASF2
23,3426,0.879769,0.569805,0.212,RARG
24,9587,0.886075,0.558442,0.221,VPS16
25,1431,0.888702,0.537338,0.23,GDI2
26,7557,0.893957,0.506494,0.24,UQCRQ
27,508,0.895954,0.522727,0.249,RUNX3
28,5042,0.895218,0.550325,0.259,SOCS3
29,5261,0.897846,0.534091,0.269,SLC22A14
30,578,0.896479,0.532468,0.279,CD79A
